OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio
1,NonResidential,Hotel,Mayflower park hotel,DOWNTOWN,1927,1.0,12,88434,0,88434,Hotel,88434.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,60.0,81.69999695,182.5,7226362.5,2003882.0,3946027.0,1276453.0,Compliant,249.98,2.83,0.277301616131214,0.546059929874816,0.1766383848028659,88434.0,7369.5,0.0,1.0
2,NonResidential,Hotel,Paramount Hotel,DOWNTOWN,1996,1.0,11,103566,15064,88502,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,94.80000305,176.1000061,8387933.0,0.0,3242851.0,5145082.0,Compliant,295.86,2.86,0.0,0.38660907281925116,0.6133909271807488,88502.0,8045.636363636364,0.1454531409922175,0.8545468590077825
3,NonResidential,Hotel,5673-The Westin Seattle,DOWNTOWN,1969,1.0,41,956110,196718,759392,Hotel,756493.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,43.0,96.0,241.8999939,72587024.0,21566554.0,49526664.0,1493800.0,Compliant,2089.28,2.19,0.29711307629859574,0.6823074052464253,0.020579435795576907,759392.0,18521.756097560974,0.20574829256047944,0.7942517074395206
5,NonResidential,Hotel,HOTEL MAX,DOWNTOWN,1926,1.0,10,61320,0,61320,Hotel,61320.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,56.0,110.8000031,216.1999969,6794584.0,2214446.25,2768924.0,1811213.0,Compliant,286.43,4.67,0.32591344076399675,0.40751928300540546,0.2665671658485641,61320.0,6132.0,0.0,1.0
8,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),DOWNTOWN,1980,1.0,18,175580,62000,113580,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,114.8000031,211.3999939,14172606.0,0.0,5368607.0,8803998.0,Compliant,505.01,2.88,0.0,0.3788016826263286,0.6211982468150177,113580.0,6310.0,0.3531153889964688,0.6468846110035311
9,NonResidential,Other,West Precinct,DOWNTOWN,1999,1.0,2,97288,37198,60090,Police Station,88830.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,136.1000061,316.2999878,12086616.0,0.0,7371434.0,4715182.0,Compliant,301.81,3.1,0.0,0.609884023783001,0.39011597621699906,60090.0,30045.0,0.382349313378834,0.6176506866211661
10,NonResidential,Hotel,Camlin,DOWNTOWN,1926,1.0,11,83008,0,83008,Hotel,81352.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,27.0,70.80000305,146.6000061,5758795.0,0.0,2811215.0,2947580.0,Compliant,176.14,2.12,0.0,0.4881602835315374,0.5118397164684626,83008.0,7546.181818181818,0.0,1.0
11,NonResidential,Other,Paramount Theatre,DOWNTOWN,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,102761.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,61.29999924,141.6999969,6298131.5,2276286.5,3636655.0,385189.0,Compliant,221.51,2.16,0.36142251078752485,0.5774180802671396,0.061159250168085565,102761.0,12845.125,0.0,1.0
12,NonResidential,Hotel,311wh-Pioneer Square,DOWNTOWN,1904,1.0,15,163984,0,163984,Hotel,163984.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,43.0,83.69999695,180.8999939,13723820.0,0.0,7297919.0,6425900.0,Compliant,392.16,2.39,0.0,0.5317702359838588,0.4682296911501317,163984.0,10932.266666666666,0.0,1.0
15,NonResidential,Hotel,Hotel Monaco Seattle,DOWNTOWN,1969,1.0,11,153163,19279,133884,Hotel,133884.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,30.0,119.5999985,228.1999969,16016644.0,5237165.5,6187627.0,4591850.0,Compliant,691.26,4.51,0.32698269999632884,0.386324813113159,0.2866923932379342,133884.0,12171.272727272728,0.12587243655452035,0.8741275634454797
16,NonResidential,Hotel,5679-W Seattle,DOWNTOWN,1998,1.0,25,333176,61161,272015,Hotel,336640.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,36.0,80.0,199.0,26941110.0,5999360.5,18083049.0,2858700.0,Compliant,740.97,2.22,0.22268423609866111,0.6712065315794338,0.10610921376290731,272015.0,10880.6,0.18356964487237976,0.8164303551276202
17,NonResidential,Hotel,Executive Pacific Plaza,DOWNTOWN,1928,1.0,9,65009,0,65009,Hotel,65009.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,48.0,101.5,153.6000061,6596057.5,1656352.5,1343000.0,3596705.0,Compliant,328.23,5.05,0.2511125016724005,0.2036064725027033,0.5452810258248961,65009.0,7223.222222222223,0.0,1.0
18,NonResidential,Hotel,Crowne Plaza Hotel Seattle,DOWNTOWN,1980,1.0,33,315952,57600,258352,Hotel,295511.0,Parking,57600.0,Inconnu,14923.139939614732,58.0,75.5,179.8999939,22325364.0,4337738.5,13904183.0,4083440.0,Compliant,648.62,2.05,0.19429642894064347,0.6227975946999117,0.18290586437918774,258352.0,7828.848484848485,0.18230617308958322,0.8176938269104168
19,NonResidential,Hotel,Hotel Vintage Seattle,DOWNTOWN,1922,1.0,11,92190,25200,66990,Hotel,67390.0,Parking,25200.0,Inconnu,14923.139939614732,35.0,159.5,297.3999939,10750010.0,4870847.5,3832369.0,2046793.0,Compliant,511.39,5.55,0.4531016715333288,0.3564991102333858,0.19039917172170073,66990.0,6090.0,0.2733485193621868,0.7266514806378133
21,NonResidential,Other,The Seattle Public Library - Central Library,DOWNTOWN,2004,1.0,11,412000,57000,355000,Library,364913.0,Parking,49000.0,Data Center,1074.0,65.44972577696527,50.79999924,155.6000061,18588860.0,737559.5,17851297.0,0.0,Compliant,181.38,0.44,0.0396775003953981,0.9603223113197904,0.0,355000.0,32272.727272727272,0.1383495145631068,0.8616504854368932
22,NonResidential,Other,Downtown Seattle YMCA,DOWNTOWN,1930,1.0,6,103911,0,103911,Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,65.44972577696527,76.59999847,157.3999939,9956396.0,4592347.5,4453868.0,910180.0,Compliant,433.86,4.18,0.4612459669141324,0.44733736986757056,0.09141661299932224,103911.0,17318.5,0.0,1.0
23,NonResidential,Hotel,Renaissance Seattle Hotel,DOWNTOWN,1983,1.0,28,416281,85000,331281,Hotel,348329.0,Parking,85000.0,Inconnu,14923.139939614732,31.0,96.30000305,228.5,33556756.0,0.0,21225277.0,12331475.0,Compliant,802.89,1.93,0.0,0.6325187392964922,0.3674811415024742,331281.0,11831.464285714286,0.20418899733593415,0.7958110026640659
24,NonResidential,Mixed Use Property,The Rainier Club,DOWNTOWN,1907,1.0,5,57452,0,57452,Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,65.44972577696527,132.3999939,280.7000122,7606084.5,1776201.875,3764791.0,2065091.0,Compliant,273.02,4.75,0.23352381570307298,0.4949709669935957,0.2715051351322747,57452.0,11490.4,0.0,1.0
25,NonResidential,Hotel,Arctic Club Seattle,DOWNTOWN,1916,1.0,10,104352,0,104352,Hotel,104352.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,39.0,97.30000305,225.5,10154608.0,3430862.0,5908370.0,815376.0,Compliant,349.32,3.35,0.33786257431109107,0.5818412685157319,0.08029615717317695,104352.0,10435.2,0.0,1.0
26,NonResidential,Other,King County Courthouse,DOWNTOWN,1916,1.0,10,540360,0,540360,Courthouse,537150.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,76.0,83.69999695,182.6999969,44984468.0,0.0,24357833.0,20626631.0,Compliant,1265.29,2.34,0.0,0.5414720698708719,0.45852784120954815,540360.0,54036.0,0.0,1.0
27,NonResidential,Other,King County Correctional Facility,DOWNTOWN,1985,1.0,19,385274,0,385274,Other,385274.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,124.1999969,229.5,47859812.0,0.0,18257661.0,29602150.0,Compliant,1699.45,4.41,0.0,0.3814820877273818,0.6185178913782612,385274.0,20277.57894736842,0.0,1.0
